mapping,class_id,operator_error_rank,operator_error,state_error,commutator_surrogate,predicted_leading_error,surrogate_rank,tags,order_indices,order_labels
bk,4127,76,0.02002080369488416,0.020020803694884008,0.040388595809263836,0.020194297904631918,80,,4 5 0 1 2 6 7 8 9 10 11 3 12 13,P0004 P0005 P0000 P0001 P0002 P0006 P0007 P0008 P0009 P0010 P0011 P0003 P0012 P0013
bk,4142,77,0.020020803694884258,0.020020803694884008,0.040388595809263836,0.020194297904631918,81,,4 5 0 2 3 6 7 8 9 10 12 13 1 11,P0004 P0005 P0000 P0002 P0003 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0001 P0011
bk,4174,78,0.020020803694884258,0.020020803694884008,0.040388595809263836,0.020194297904631918,82,,4 5 1 2 3 6 7 8 9 10 12 13 0 11,P0004 P0005 P0001 P0002 P0003 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0011
bk,4140,79,0.020020803694884296,0.020020803694884008,0.040388595809263836,0.020194297904631918,83,,4 5 0 2 3 6 7 8 9 10 11 1 12 13,P0004 P0005 P0000 P0002 P0003 P0006 P0007 P0008 P0009 P0010 P0011 P0001 P0012 P0013
bk,4172,80,0.020020803694884296,0.020020803694884008,0.040388595809263836,0.020194297904631918,84,,4 5 1 2 3 6 7 8 9 10 11 0 12 13,P0004 P0005 P0001 P0002 P0003 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0012 P0013
bk,4129,81,0.020020803694884317,0.020020803694884008,0.040388595809263836,0.020194297904631918,85,,4 5 0 1 2 6 7 8 9 10 12 13 3 11,P0004 P0005 P0000 P0001 P0002 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0003 P0011
bk,4132,82,0.02002080369488432,0.020020803694884008,0.040388595809263836,0.020194297904631918,86,,4 5 0 1 3 6 7 8 9 10 12 13 2 11,P0004 P0005 P0000 P0001 P0003 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0002 P0011
bk,3796,91,0.024372065768669952,0.0044373941608365115,0.040388595809263836,0.020194297904631918,87,,4 1 6 7 8 9 10 11 0 2 3 5 12 13,P0004 P0001 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0002 P0003 P0005 P0012 P0013
bk,3942,92,0.024372065768669952,0.0044373941608365115,0.040388595809263836,0.020194297904631918,88,,4 2 6 7 8 9 10 11 0 1 3 5 12 13,P0004 P0002 P0006 P0007 P0008 P0009 P0010 P0011 P0000 P0001 P0003 P0005 P0012 P0013
bk,5046,93,0.024372065768669952,0.004437394160836672,0.040388595809263836,0.020194297904631918,89,,5 2 6 7 8 9 10 12 13 0 1 3 4 11,P0005 P0002 P0006 P0007 P0008 P0009 P0010 P0012 P0013 P0000 P0001 P0003 P0004 P0011
