# number of frozen, occupied, single-occupancy orbitals = 2
# number of active, occupied, single-occupancy orbitals = 4
# number of active, vacant, single-occupancy orbitals = 8
# number of frozen, vacant, single-occupancy orbitals = 6
# size of active space = 12
# number of qubits = 12
# basis set = sto-6g
# interatomic separation (angstroms) = 1.596
# fermion-to-qubit operator mapping = bravyi-kitaev
# number of terms in sum of Pauli strings = 327
# one-norm of sum of Pauli strings (Hartrees) = 21.312654515343823
# eigenvalue lower bound from shifted one-norm (Hartrees) = -21.312654515343823
# eigenvalue upper bound from shifted one-norm (Hartrees) = -1.8495345334438156
# Hartree-Fock energy (Hartrees) = -14.721751565021146
# runtime for Hartree-Fock calculation (seconds) = 0.43511128425598145
# runtime for active space calculation (seconds) = 0.0025081634521484375
# runtime for fermion-to-qubit calculation (seconds) = 0.019158124923706055
 9.70110348819934742e-01 ZIIIIIIIIIII
 9.54783365253139560e-02 ZZIIIIIIIIZI
 5.87414279609060550e-02 IIZIIIIIIIZI
 6.82520427550244307e-02 IZZZIIIIIIZI
 6.22521630825399672e-02 IIIIZIIIIIZI
 6.59372122839280428e-02 IIIIZZIIIIZI
 6.22521630825400366e-02 IIIIIIZIIIZI
 6.59372122839281261e-02 IIIZIZZZIIZI
 4.99941683173580689e-02 IIIIIIIIZIZI
 6.34314557008123642e-02 IIIIIIIIZZZI
 9.54783365253139560e-02 ZIIIIIIIIZZZ
 9.26391336715761682e-02 ZZIIIIIIIZZZ
 6.82520427550244307e-02 IIZIIIIIIZZZ
 5.87414279609060550e-02 IZZZIIIIIZZZ
 6.59372122839280428e-02 IIIIZIIIIZZZ
 6.22521630825399672e-02 IIIIZZIIIZZZ
 6.59372122839281261e-02 IIIIIIZIIZZZ
 6.22521630825400366e-02 IIIZIZZZIZZZ
 6.34314557008123642e-02 IIIIIIIIZZZZ
 4.99941683173580689e-02 IIIIIIIIZIZZ
 7.65494801189761376e-02 IIIIIIIIIZIZ
